,tickers,best_value,best_param
0,KRW-BTC,1.785361794374749,"{'r1': 7, 'ad': 5, 'limad': 5, 'wmean': 6, 'mc_ratio': 1.11}"
1,KRW-ETH,1.4694542292958133,"{'r1': 5, 'ad': 26, 'limad': 16, 'wmean': 4, 'mc_ratio': 1.83}"
2,KRW-NEO,1.915989276217679,"{'r1': 15, 'ad': 6, 'limad': 9, 'wmean': 5, 'mc_ratio': 1.13}"
3,KRW-MTL,2.4387713488092584,"{'r1': 14, 'ad': 9, 'limad': 19, 'wmean': 9, 'mc_ratio': 1.19}"
4,KRW-XRP,1.9164868519766503,"{'r1': 6, 'ad': 18, 'limad': 13, 'wmean': 9, 'mc_ratio': 1.2}"
5,KRW-ETC,1.6737882665298836,"{'r1': 8, 'ad': 30, 'limad': 10, 'wmean': 12, 'mc_ratio': 1.08}"
6,KRW-SNT,3.0857421969514314,"{'r1': 12, 'ad': 8, 'limad': 5, 'wmean': 11, 'mc_ratio': 1.08}"
7,KRW-WAVES,1.9341256071155695,"{'r1': 12, 'ad': 29, 'limad': 2, 'wmean': 12, 'mc_ratio': 1.11}"
8,KRW-XEM,1.3919977341767522,"{'r1': 15, 'ad': 12, 'limad': 14, 'wmean': 8, 'mc_ratio': 1.02}"
9,KRW-QTUM,1.7045260540133647,"{'r1': 5, 'ad': 20, 'limad': 8, 'wmean': 3, 'mc_ratio': 1.11}"
10,KRW-LSK,1.6800571778307225,"{'r1': 12, 'ad': 10, 'limad': 3, 'wmean': 12, 'mc_ratio': 1.08}"
11,KRW-STEEM,1.997066298640851,"{'r1': 11, 'ad': 8, 'limad': 2, 'wmean': 12, 'mc_ratio': 1.18}"
12,KRW-XLM,1.9583222687150235,"{'r1': 10, 'ad': 15, 'limad': 20, 'wmean': 3, 'mc_ratio': 1.04}"
13,KRW-ARDR,2.3670329980683014,"{'r1': 5, 'ad': 26, 'limad': 14, 'wmean': 8, 'mc_ratio': 1.1400000000000001}"
14,KRW-ARK,5.7855581467387225,"{'r1': 10, 'ad': 28, 'limad': 4, 'wmean': 6, 'mc_ratio': 2.06}"
15,KRW-STORJ,5.9797050206514495,"{'r1': 7, 'ad': 27, 'limad': 6, 'wmean': 11, 'mc_ratio': 1.2}"
16,KRW-GRS,1.8470627347038617,"{'r1': 11, 'ad': 28, 'limad': 19, 'wmean': 12, 'mc_ratio': 1.28}"
17,KRW-ADA,2.0029267274488864,"{'r1': 14, 'ad': 7, 'limad': 5, 'wmean': 7, 'mc_ratio': 1.15}"
18,KRW-SBD,1.962003707960742,"{'r1': 10, 'ad': 19, 'limad': 16, 'wmean': 9, 'mc_ratio': 1.21}"
19,KRW-POWR,4.101741385492785,"{'r1': 11, 'ad': 24, 'limad': 13, 'wmean': 3, 'mc_ratio': 1.08}"
20,KRW-BTG,1.974890168005936,"{'r1': 8, 'ad': 13, 'limad': 15, 'wmean': 5, 'mc_ratio': 1.05}"
21,KRW-ICX,1.6182036440494112,"{'r1': 8, 'ad': 22, 'limad': 17, 'wmean': 7, 'mc_ratio': 1.28}"
22,KRW-EOS,1.273241726780695,"{'r1': 15, 'ad': 16, 'limad': 10, 'wmean': 3, 'mc_ratio': 1.05}"
23,KRW-TRX,1.5267198857239188,"{'r1': 10, 'ad': 6, 'limad': 8, 'wmean': 12, 'mc_ratio': 1.04}"
24,KRW-SC,2.3557075953993927,"{'r1': 12, 'ad': 12, 'limad': 9, 'wmean': 11, 'mc_ratio': 1.35}"
25,KRW-ONT,2.134208155594805,"{'r1': 5, 'ad': 21, 'limad': 13, 'wmean': 8, 'mc_ratio': 1.06}"
26,KRW-ZIL,1.4513929889438903,"{'r1': 5, 'ad': 29, 'limad': 20, 'wmean': 4, 'mc_ratio': 1.04}"
27,KRW-POLYX,4.0828041479477415,"{'r1': 15, 'ad': 23, 'limad': 19, 'wmean': 7, 'mc_ratio': 1.22}"
28,KRW-ZRX,2.2890436311886044,"{'r1': 11, 'ad': 5, 'limad': 12, 'wmean': 7, 'mc_ratio': 1.03}"
29,KRW-LOOM,4.455621794930945,"{'r1': 12, 'ad': 30, 'limad': 4, 'wmean': 11, 'mc_ratio': 1.5899999999999999}"
